OBJECTID,PROFILE,GNIS_NAME,SHEETNUM,LEN_MI,LEN_FT,SITUATION,ALT_NAME,HYPERLINK_EXT,THUMBNAIL,GLOBALID,SHAPE_Length
178,GGEW0049p,Rahway River,13,0.65798186,3474.14423045,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/GGEW0049p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/GGEW0049p.jpg,{E9B36E08-A016-4E77-9A5F-B9F6E816D603},3474.14425832964
179,GGEW0046p,Heards Brook,16,1.92225783,10149.5213246,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/GGEW0046p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/GGEW0046p.jpg,{2913AFA0-3A8A-4C80-AD62-54DC78295461},10149.5210852694
180,GGEW0020p,South Branch Rahway River,6,1.31278307,6931.49458974,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/GGEW0020p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/GGEW0020p.jpg,{26F62EA0-9BC3-471C-B90F-2BBF468D218A},6931.4942571306
181,GGEW0047p,Spa Spring Creek,15,0.7225198,3814.90455703,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/GGEW0047p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/GGEW0047p.jpg,{990D0373-C3F8-4874-AA55-01B610CE3519},3814.90534378745
182,H0000114p,Cruser Brook,7,4.12427313,21776.1621078,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000114p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000114p.jpg,{CE29CA2A-19B0-4829-842C-FBA5CEF0F195},21776.1624440696
183,H0000114p,Pike Run,7,4.00573492,21150.2803576,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000114p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000114p.jpg,{E568F8FC-AD43-4122-B07D-2A15DD3981D8},21150.2801379412
184,H2000011p,Oakeys Brook,11P,0.89962121,4750,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H2000011p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H2000011p.jpg,{BAB78118-8D9A-4D67-8DC8-C2F4174C2025},4749.99973893877
185,H2000003p,Lawrence Brook,02P,4.2769911,22582.5130294,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H2000003p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H2000003p.jpg,{31126016-B754-45F3-A840-A00528BFCAD7},22582.5139449725
186,H0000115p,Rock Brook,6,3.33940953,17632.0823039,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000115p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000115p.jpg,{8A2D90E0-7E47-4283-B0A3-F8C615D6EB82},17632.0823539937
187,H0000116p,Beden Brook,5,7.49988172,39599.3754555,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000116p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000116p.jpg,{D2789703-9158-47CC-8088-2D0DC7A9D0DD},39599.3767545493
188,V0000082p,Many Mind Creek,Sheet 5,0.67406692,3559.07335967,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/V0000082p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/V0000082p.jpg,{9C154A38-34B1-4254-9F1E-9B3B8281F9C0},3559.0731517539
189,H0000176p,Matchaponix Brook,11P,2.46212121,13000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000176p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000176p.jpg,{CBAE7A5B-FC6C-414F-9C55-46C09DC88362},12999.9994311958
190,H0000122p,Millstone River,01P,2.27272727,12000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000122p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000122p.jpg,{1142E775-E8C1-4A93-B364-64DFE9D6F80F},11999.9999386609
191,O0000078p,Hop Brook,03p,0.89216181,4710.61435365,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/O0000078p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/O0000078p.jpg,{079570C2-0A6B-45A8-9B0B-0B9B6168BFC9},4710.61408368454
192,H0000159p,Shallow Brook,07P,1.89393939,10000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000159p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000159p.jpg,{D5F548CD-B994-4042-A689-6B0D5B861B1E},9999.99851375378
193,H0000157p,Devils Brook,05P,2.46212121,13000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000157p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000157p.jpg,{934A95B7-83EF-4405-81E2-5DBEE68CD5C2},12999.9998709847
194,H0000127p,Stony Brook,06P,2.46212121,13000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000127p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000127p.jpg,{E9CB2B23-4E82-4417-B500-DC880030F678},13000.0000688641
195,H0000201p,Shallow Brook,10P,0.40322776,2129.04259406,Ditch,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000201p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000201p.jpg,{2D387760-0443-43C2-903F-F627FC7C9A2F},2129.04274501225
196,H0000264p,Duck Pond Run,10P,2.46212121,13000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000264p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000264p.jpg,{271A8AA4-BABF-4ED9-8F94-E59A420284D1},13000.000079262
197,O0000071p,Wampum Brook,04p,1.47413649,7783.44068417,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/O0000071p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/O0000071p.jpg,{7AA7443F-A972-404D-A254-72A3066F3E80},7783.44108940792
198,H0000151p,Branch 2-2 Harrys Brook,30P,0.24851516,1312.16005959,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000151p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000151p.jpg,{F5819AB6-4DCA-408C-A8B3-9975427D46BD},1312.16011442372
199,H0000200p,Tributary to Millstone River,09P,1.00545326,5308.79321671,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000200p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000200p.jpg,{B64A22E1-BA8F-43B4-841C-A47823EB4B1E},5308.79329400647
200,AB000102p,Second River, ,0.41666667,2200,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000102p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000102p.jpg,{BBF20368-26B0-4DB4-B14A-A43E8589B578},2200.00013073341
201,AB000104p,Second River, ,0.42737268,2256.52774342,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000104p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000104p.jpg,{A41793C6-BC59-4CD0-AE0A-EEBC63192469},2256.52750253738
202,AB000105p,Second River, ,0.37878788,2000,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000105p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000105p.jpg,{3A58EF23-70F9-46A1-9A06-8B925B37B7B6},2000.00023581488
203,AB000012p,Weasel Brook,12P,0.41666667,2200,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000012p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000012p.jpg,{18BE1A58-D6FF-4E07-9C85-1C470108CA51},2200.00008503907
204,AB000014p,Weasel Brook,14P,0.39607298,2091.26535351,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000014p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000014p.jpg,{23384D67-AB7A-4705-AD27-40444983F84E},2091.265369626
205,AB000029p,Henderson Brook,29P,0.66462739,3509.23260347,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000029p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000029p.jpg,{DCBEA70C-D9CB-4529-9386-F04E0AD9D470},3509.23260618323
206,AB000044p,Ramsey Brook,44P,0.41666667,2200,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000044p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000044p.jpg,{8418CAA0-B240-40FD-B3CB-43E3C57392B2},2199.99960824693
207,AB000045p,Ramsey Brook,45P,0.41666667,2200,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000045p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000045p.jpg,{BD85D47D-91D8-4E87-A8BC-7CF31103CCC2},2200.00027162284
208,AB000046p,Ramsey Brook,46P,0.41666667,2200,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000046p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000046p.jpg,{ECFB158C-95C0-4392-A506-C53F3E5901D7},2200.000203983
209,AB000047p,Ramsey Brook,47P,0.13257576,700,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000047p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000047p.jpg,{4AE741D4-332A-4C39-888A-1784A5384230},699.999806643955
210,AB000053p,Masonicus Brook,53P,0.20833333,1100,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000053p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000053p.jpg,{BAD10FE3-F0DF-4AED-800C-AF41D831F13B},1099.99957596956
211,AB000055p,Goffle Brook,55P,1.04166667,5500,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000055p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000055p.jpg,{E8BDCFE5-E337-4761-8818-0BF733062928},5499.99959112782
212,AB000056p,Goffle Brook,56P,1.04166667,5500,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000056p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000056p.jpg,{25FC1994-3652-4996-B3AC-1A2633DB87C1},5500.00003423561
213,AB000058p,Deep Brook,58P,0.41666667,2200,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000058p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000058p.jpg,{87B26459-6B3F-46E5-91F0-0EAC5E9B9185},2199.99997611866
214,AB000059p,Deep Brook,59P,0.41666667,2200,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000059p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000059p.jpg,{BDE2E593-20B1-4794-92E4-6EA118FE7E3B},2199.9999615792
215,AB000076p,Great Notch Brook,76P,0.20833333,1100,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000076p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000076p.jpg,{57B67F23-774A-494B-A6E7-DC6BFD5BC005},1099.9999616668
216,AB000077p,Great Notch Brook,77P,0.20833333,1100,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000077p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000077p.jpg,{962328A1-8BE0-4D94-B730-2440FB75C40A},1099.9999374143
217,AB000080p,Taylor Brook,80P,0.34090909,1800,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000080p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000080p.jpg,{7429C083-1CA7-4908-96AE-51E59FAD0962},1799.99978398924
218,AB000081p,Taylor Brook,81P,0.18465909,975,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/AB000081p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/AB000081p.jpg,{766D571C-45DA-4B7B-8DA3-BF26A648AB06},975.000234256098
219,BDALE009p,Pequannock River - UNT,03p,1.04166667,5500,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/BDALE009p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/BDALE009p.jpg,{2EA57408-661E-436D-B37D-13EB1C957217},5500.00012037907
220,FA000031p,Slippery Rock Brook,08P,0.10316153,544.69290204,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000031p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000031p.jpg,{FF49DA92-E974-4EEC-9730-73253E201F13},544.692835066521
221,FA000038p,Pearl Brook,10P,0.18939394,1000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000038p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000038p.jpg,{9105B358-E674-4A95-91FF-7BD9A9CB207B},1000.0000704334
222,FA000039p,Pearl Brook,11P,0.18939394,1000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000039p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000039p.jpg,{D732B5E0-9528-4140-898E-BE0D9AFB7695},1000.00022919211
223,FA000040p,Pearl Brook,12P,0.18939394,1000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000040p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000040p.jpg,{ABAD1EAC-145F-4F0B-B63C-D34293455A55},999.999930917849
224,FA000041p,Pearl Brook,13P,0.18939394,1000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000041p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000041p.jpg,{3136927E-5C60-4754-B003-5D996B4E9DDA},1000.00005979636
225,FA000043p,Slippery Rock Brook,15P,0.3030303,1600,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000043p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000043p.jpg,{A09824C7-C480-4AF1-8215-D95A293DCC8F},1600.00007511355
226,FA000044p,Slippery Rock Brook,16P,0.3030303,1600,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000044p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000044p.jpg,{8F3E8FF7-5FD3-416B-B7EE-8477B7F9856F},1600.00009336561
227,FA000045p,Slippery Rock Brook,17P,0.37878788,2000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000045p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000045p.jpg,{07976C27-D498-41C0-BADD-59FFCF3D86F5},2000.00009130128
228,FA000046p,Slippery Rock Brook,18P,0.3030303,1600,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000046p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000046p.jpg,{D0AEC2B3-486E-4BA6-A39E-8816E839FF42},1600.00022683954
229,FA000052p,Weasel Brook,12P,0.37878788,2000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000052p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000052p.jpg,{580C06BA-4746-4A3E-BBBF-8C57ACEA8834},1999.99993831246
230,FA000053p,Weasel Brook,13P,0.37878788,2000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000053p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000053p.jpg,{3199CBE1-8898-4C65-B3BA-6BE1BDA34EA9},1999.99988362698
231,FA000054p,Weasel Brook,14P,0.37878788,2000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000054p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000054p.jpg,{7766E7B4-3BD4-4BCC-AF18-C4A0B04B9B46},2000.00024077092
232,FA000055p,Weasel Brook,15P,0.37878788,2000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000055p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000055p.jpg,{204B9F2C-307D-44A0-8B39-3F2EB499C713},1999.99999348141
233,FA000056p,Weasel Brook,16P,0.37878788,2000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000056p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000056p.jpg,{5E966B64-A083-4C44-8805-0DEEEA390646},2000.00023654011
234,FA000057p,Weasel Brook,17P,0.42329545,2235,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000057p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000057p.jpg,{4278AF87-8B2D-4272-A04B-A6BB74E0C39F},2234.99998231795
235,FA000058p,Weasel Brook,18P,0.44223485,2335,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000058p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000058p.jpg,{03223A12-507E-40F4-A7B9-C43946A35633},2335.0000188533
236,FA000059p,Weasel Brook,19P,0.29545455,1560,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000059p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000059p.jpg,{87F884AE-BB1C-4914-B9A3-353D03B7CBC3},1560.0000095712
237,FA000060p,Weasel Brook,20P,0.31076743,1640.8520382,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000060p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000060p.jpg,{0E344B47-6DBE-4EA9-8B79-A978A2117557},1640.85199266477
238,FA000084p,Squaw Brook,16P,0.37878788,2000,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/FA000084p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/FA000084p.jpg,{707B22E4-43C6-47E9-A082-8BF0B9F835F1},1999.99994018321
239,H0000140p,Vanhorn Brook Tributary,19P,0.34090909,1800,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000140p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000140p.jpg,{3DF5C8A8-E374-4DCA-95BA-2A811EBCADEA},1799.99994981746
240,H0000168p,Bentley Brook,03P,0.85227273,4500,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000168p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000168p.jpg,{D2C68B0A-A076-4974-9C49-93EA12D84B4C},4499.99978743984
241,H0000169p,Manalapan Brook,04P,2.46212121,13000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000169p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000169p.jpg,{C5901866-12BC-4605-949E-B5A208616ABC},13000.0007170849
242,H0000170p,Manalapan Brook,05P,2.46212121,13000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000170p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000170p.jpg,{08AF2B06-02A5-4181-9B8D-A13BE5FEA150},13000.0001636567
243,H0000171p,Manalapan Brook,06P,2.46212121,13000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000171p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000171p.jpg,{C1AF2369-47A3-4266-A4DF-3EC765B7A288},13000.0009011855
244,H0000172p,Manalapan Brook,07P,2.60603658,13759.8731262,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000172p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000172p.jpg,{2EFE3836-2B00-424D-B5E3-8E2A0AC6380B},13759.8724721342
245,H0000173p,Manalapan Brook,08P,2.01307962,10629.0603764,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000173p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000173p.jpg,{A57D4D75-1393-40E6-B69A-7417D0F5B0DE},10629.0605666795
246,H0000174p,Matchaponix Brook,09P,2.46212121,13000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000174p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000174p.jpg,{8D7597CA-1B4D-42DF-A9DD-4F627085FC8A},12999.9991212443
247,H0000186p,Cranbury Brook,21P,1.25568182,6630,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000186p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000186p.jpg,{D158C2DE-BD56-43D0-BC3D-B41BF2BC1B43},6630.00004526392
248,H0000197p,Cranbury Brook,06P,0.25190733,1330.07071672,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000197p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000197p.jpg,{C1EF7AEC-4150-44D5-BD26-3090CE60C160},1330.0706426471
249,H0000208p,Millstone River,01P,0.71926734,3797.73157557,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000208p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000208p.jpg,{33E73D5C-46CA-479F-BDAB-0D385ED95E77},3797.73137057773
250,H0000258p,Big Bear Brook,04P,2.46212121,13000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000258p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000258p.jpg,{2E369005-DAA6-4E8B-8523-2BA2DDB5CEFB},12999.9995422085
251,H0000260p,Bear Creek,06P,0.81264038,4290.74121236,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000260p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000260p.jpg,{FFEF244E-692E-4AE3-8CCA-B0181B7BA353},4290.74103548018
252,H0000265p,Duck Pond Run,11PR,1.28897788,6805.8032223,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000265p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000265p.jpg,{08A1B282-7EDE-4955-9318-694B08469753},6805.8035379929
253,H0000275p,Rocky Brook,05P,1.05329198,5561.38164315,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H0000275p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H0000275p.jpg,{4995BD61-7041-4DB4-B4D8-1F3DAAD83B2F},5561.38141848014
254,H2000002p,Lawrence Brook,01P,2.34848485,12400,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H2000002p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H2000002p.jpg,{E4267B43-4392-44B0-8434-5F3315025031},12399.9998463257
255,H2000005p,Great Ditch,04P,0.24621212,1300,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H2000005p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H2000005p.jpg,{7CD3355A-DE55-45F8-B2EA-13A89AEDEFC8},1299.99996627934
256,H2000008p,Oakeys Brook,08P,1.13636364,6000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H2000008p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H2000008p.jpg,{BD236DC4-F076-48E3-BC35-9D6B532109B1},6000.00091446472
257,H2000033p,Carters Brook,33P,0.6155303,3250,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H2000033p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H2000033p.jpg,{F35BB647-3630-46CE-9EA2-DB5DD355457B},3249.99987042699
258,H2000034p,Carters Brook,34P,0.6155303,3250,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H2000034p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H2000034p.jpg,{78281A17-7BCC-4141-9AE6-3E47C862821A},3249.99977236356
259,H2000035p,Carters Brook,35P,0.55871212,2950,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/H2000035p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/H2000035p.jpg,{E2DF85B3-1753-4CB8-BB41-883C37967AE2},2950.00021035433
260,J0000016p,High Mountain Brook,66,0.87121212,4600,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000016p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000016p.jpg,{C9EACA3A-81A0-49A4-874F-95767EF19BF5},4599.99920990643
261,J0000015p,High Mountain Brook,67,0.83333333,4400,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000015p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000015p.jpg,{9A41ADAD-65BE-47C0-8330-32DF1497A839},4400.00068296201
262,J0000014p,High Mountain Brook,68,0.49242424,2600,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000014p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000014p.jpg,{8BDE718F-8A41-49D3-BD78-6FD034680699},2599.99985685226
263,J0000013p,High Mountain Brook,69,0.49242424,2600,Artificial Connector,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000013p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000013p.jpg,{59E80E36-DDCC-4A79-94D5-6F6256F79F62},2599.99966361615
264,J0000022p,Wanaque River,60,2.46212121,13000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000022p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000022p.jpg,{EC1DCFAD-FA79-43BC-93BF-0F3E163E2177},13000.0002902949
265,J0000023p,Ringwood Creek,59,2.12121212,11200,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000023p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000023p.jpg,{0FCC234D-1B73-4C62-B419-42D41BDA8BF6},11199.9995277065
266,J0000030p,Erskine Brook,52,0.65439323,3455.19626742,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000030p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000030p.jpg,{B6C7349F-9D5E-416D-90F2-C7B4A944D3BF},3455.19623367925
267,J0000043p,Wanaque River,39,1.03725845,5476.72460761,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000043p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000043p.jpg,{3A925921-2F9E-4A78-A6A6-43BC6CC1F267},5476.72454903588
268,BDALE011p,Pequannock River,05p,0.55436025,2927.02211089,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/BDALE011p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/BDALE011p.jpg,{287C5EFA-C472-4AD9-97F7-C97BA6C7EF67},2927.02202760504
269,J0000082p,Pequannock River,43,0.37878788,2000,Stream,,https://www.nj.gov/dep/landuse/images/flood/profiles/J0000082p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/J0000082p.jpg,{5982C7D6-60BE-4319-B04C-E5231053BA0E},2000.00003938389
270,N0000039p,Whippany River,01p,0.9469697,5000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/N0000039p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/N0000039p.jpg,{B45FA807-39FA-4B7F-9CEE-F86E77EBBCA6},4999.99965448172
271,N0000040p,Whippany River,02p,1.13636364,6000,River/Stream centerline,,https://www.nj.gov/dep/landuse/images/flood/profiles/N0000040p.tif,https://www.nj.gov/dep/landuse/images/flood/thumbnails/N0000040p.jpg,{4AB3CF2E-52D9-4797-88C0-6267938137F7},5999.99951650436
