"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","State or Federal Agency ID","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Source Agency","Latitude","Longitude","County","State","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","Section, Township, or Range Location","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Purpose","Purposes","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Lock Width (Ft)","Years Modified","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL"
"Lake Oberst Dam","","","NJ01040","","NJ01040","Fish Pond Development Corp. TTL","Private","Private","31-83","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.71461666666666","-75.09208333333333","Gloucester","New Jersey","","","Mantua Creek","Congressional District 01, New Jersey","GLASSBORO BOROUGH","","","","","","","","","","","Earth","Earth;Gravity","","","9","","","9","Less than 25 feet","180","","","Undetermined","0","","","","1.5","","","","","","","","","2022-04-11","","2","Significant","Not Rated","","No","","https://damsafety.org/new-jersey"
"Alcyon Lake Dam","","","NJ00427","","NJ00427","Borough of Pitman","Local Government","Local Government","31-1","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.7321","-75.14173333333333","Gloucester","New Jersey","Pitman","","Chestnut Branch Mantua Creek","Congressional District 02, New Jersey","PITMAN BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","12","","","12","Less than 25 feet","480","","1943","1940-1949","150","150","66","19","4","632","","","","","","","","2022-04-11","2020-03-16","2","Significant","Fair","2020-03-16","Yes","2020-10-05","https://damsafety.org/new-jersey"
"Manalapan Lake Dam","","","NJ00293","","NJ00293","County of Middlesex, Engineering Department","Local Government","Local Government","28-57","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.34716666666666","-74.43508333333334","Middlesex","New Jersey","Old Bridge","","Manalapan Brook","Congressional District 12, New Jersey","JAMESBURG BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","15","","","15","Less than 25 feet","213","","","Undetermined","297","297","136","39","25","2500","","","","","","","","2022-04-11","2021-08-25","2","High","Satisfactory","2021-08-25","Yes","2018-01-30","https://damsafety.org/new-jersey"
"Mill Pond Dam","","","NJ00245","","NJ00245","Park Ridge Borough","Local Government","Local Government","23-86","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.03693333333333","-74.03891666666667","Bergen","New Jersey","Park Ridge","","Pascak Brook","Congressional District 05, New Jersey","PARK RIDGE BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","20.6","","","20.6","Less than 25 feet","588","","1908","1900-1909","22","","22","7","14.200000000000001","5490","","","","","","","","2022-04-11","2021-04-23","2","High","Satisfactory","2021-04-23","Yes","2016-01-07","https://damsafety.org/new-jersey"
"Blackwood Lake Dam","","","NJ00800","","NJ00800","Township of Gloucester","Local Government","Local Government","31-32","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.8019","-75.0734","Camden","New Jersey","Blackwood","","South Branch Big Timber Creek","Congressional District 01, New Jersey","GLOUCESTER TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","14","","","14","Less than 25 feet","200","","1922","1920-1929","236","236","23","16","19.1","1927","","","","","","","","2022-04-11","2020-04-02","2","Significant","Satisfactory","2020-04-02","Yes","2017-09-18","https://damsafety.org/new-jersey"
"Wilson Lake Dam","","","NJ00436","","NJ00436","County of Gloucester","Local Government","Local Government","31-27","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.656","-75.05093333333333","Gloucester","New Jersey","","","Scotland Run","Congressional District 02, New Jersey","CLAYTON BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","6","","","6","Less than 25 feet","650","","1933","1930-1939","61","","61","30","8.5","425","","","","","","","","2022-04-11","2021-03-11","2","Significant","Satisfactory","2021-03-11","Yes","2021-06-22","https://damsafety.org/new-jersey"
"Tomlinson Mill Dam","","","NJ00627","","NJ00627","Township of Evesham","Local Government","Local Government","31-87","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.86563333333333","-74.89475","Burlington","New Jersey","Medford","","Barton Run","Congressional District 03, New Jersey","EVESHAM TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","11","","","11","Less than 25 feet","300","","","Undetermined","24","","24","10","6.1000000000000005","","","","","","","","","2022-04-11","2022-02-16","2","Significant","Satisfactory","2022-02-16","Yes","2010-07-14","https://damsafety.org/new-jersey"
"Morris Lake Dam","","","NJ00306","","NJ00306","Town of Newton","Local Government","Local Government","22-7","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.04313333333333","-74.60706666666667","Sussex","New Jersey","Sparta","","Wallkill River-TR","Congressional District 11, New Jersey","SPARTA TOWNSHIP","","","","","","","","","Water Supply","Water Supply","Concrete","Stone;Concrete","","","19","","","19","Less than 25 feet","160","","1895","Before 1900","2985","2985","2470","157","1.12","283","","","","","","","","2022-04-11","2020-12-04","2","High","Satisfactory","2020-12-04","Yes","2016-03-01","https://damsafety.org/new-jersey"
"Lake Rutherford Dam","","","NJ00966","","NJ00966","Borough of Sussex","Local Government","Local Government","22-315","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.28303333333333","-74.6662","Sussex","New Jersey","Colesville","","Clove Brook-TR","Congressional District 05, New Jersey","WANTAGE TOWNSHIP","","","","","","","","","Water Supply","Water Supply","Earth","Earth","","","12","","","12","Less than 25 feet","110","","","Undetermined","780","","780","64","0.6","145","","","","","","","","2022-04-11","2021-07-06","2","High","Satisfactory","2021-07-06","Yes","2021-08-03","https://damsafety.org/new-jersey"
"Heaters Pond Dam","","","NJ00795","","NJ00795","Ogdensburg Borough","Local Government","Local Government","22-184","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.072849999999995","-74.58596666666666","Sussex","New Jersey","South Ogdensburg","","Sawmill Brook","Congressional District 11, New Jersey","OGDENSBURG BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","7.9","","","7.9","Less than 25 feet","324","","1910","1910-1919","55","","55","38","1.3","97","","","","","","","","2022-04-11","2021-06-29","2","High","Satisfactory","2021-06-29","Yes","2021-07-19","https://damsafety.org/new-jersey"
"Bostwicks Pond Dam","","","NJ00039","","NJ00039","Bostwick Lake Commission","Local Government","Local Government","34-19","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.52828333333333","-75.26773333333334","Cumberland","New Jersey","","","Cohansey River","Congressional District 02, New Jersey","UPPER DEERFIELD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","13","","","13","Less than 25 feet","730","","1934","1930-1939","52","","52","40","8.3","2952","","","","","","","","2022-04-11","2019-04-19","2","Significant","Satisfactory","2019-04-19","Yes","2017-10-27","https://damsafety.org/new-jersey"
"Quinton Pond Dam","","","NJ00103","","NJ00103","City of Salem","Local Government","Local Government","30-2","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.54783333333334","-75.40751666666667","Salem","New Jersey","","","Laurel Run","Congressional District 02, New Jersey","QUINTON TOWNSHIP","","","","","","","","","Water Supply","Water Supply","Earth","Earth;Gravity","","","9","","","9","Less than 25 feet","235","","","Undetermined","132","132","81","19","1.35","","","","","","","","","2022-04-11","2022-02-16","2","Significant","Satisfactory","2022-02-16","Yes","2019-04-10","https://damsafety.org/new-jersey"
"Upper Sylvan Lake Dam","","","NJ00760","","NJ00760","Township of Burlington","Local Government","Local Government","27-7","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.05838333333333","-74.85641666666666","Burlington","New Jersey","Burlington","","Mill Stream","Congressional District 03, New Jersey","BURLINGTON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","20","","","20","Less than 25 feet","600","","1941","1940-1949","50","","50","20","0.9","57","","","","","","","","2022-04-11","2020-10-15","2","Significant","Satisfactory","2020-10-15","Yes","2018-11-15","https://damsafety.org/new-jersey"
"Branchville Reservoir Dam","","","NJ00009","","NJ00009","Borough of Branchville","Local Government","Local Government","22-100","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.195416666666674","-74.73246666666667","Sussex","New Jersey","","","Dry Brook","Congressional District 05, New Jersey","FRANKFORD TOWNSHIP","","","","","","","","","Water Supply","Water Supply","Earth","Earth;Gravity","","","22","","","22","Less than 25 feet","690","","1934","1930-1939","21","","21","4","1","","","","","","","","","2022-04-11","2020-12-07","2","Significant","Satisfactory","2020-12-07","Yes","2020-07-07","https://damsafety.org/new-jersey"
"Mary Elmer Lake Dam","","","NJ00068","","NJ00068","City of Bridgeton","Local Government","Local Government","34-9","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.446283333333334","-75.24723333333333","Cumberland","New Jersey","","","Cohansey River","Congressional District 02, New Jersey","BRIDGETON CITY","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","15","","","15","Less than 25 feet","500","","1924","1920-1929","68","","68","22","7.5","4078","","","","","","","","2022-04-11","2021-03-23","2","Significant","Satisfactory","2021-03-23","Yes","2021-04-01","https://damsafety.org/new-jersey"
"Elmer Lake Dam","","","NJ00618","","NJ00618","County of Salem","Local Government","Local Government","31-10","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.58896666666666","-75.16466666666666","Salem","New Jersey","Centerton","","Muddy Run","Congressional District 02, New Jersey","PITTSGROVE TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","12","","","12","Less than 25 feet","600","","","Undetermined","121","","121","36","11.700000000000001","300","","","","","","","","2022-04-11","2020-08-19","2","Significant","Satisfactory","2020-08-19","Yes","2008-12-01","https://damsafety.org/new-jersey"
"Saunders Fish Pond Dam","","","NJ00945","","NJ00945","Cynthia Sullivan","Private","Private","25-133","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.763349999999996","-74.60185","Morris","New Jersey","","","North Branch Raritan River","Congressional District 11, New Jersey","MENDHAM BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","12","","","12","Less than 25 feet","250","","","Undetermined","15","","15","2","0.48","170","","","","","","","","2022-04-11","2020-10-08","2","Significant","Poor","2020-10-08","Yes","2018-11-07","https://damsafety.org/new-jersey"
"Silver Lake Dam","","","NJ00626","","NJ00626","Silver Lake Association","Private","Private","31-19","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.65286666666667","-75.10884999999999","Gloucester","New Jersey","Franklinville","","Still Run","Congressional District 02, New Jersey","CLAYTON BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","6","","","6","Less than 25 feet","540","","1922","1920-1929","240","","240","86","7.1000000000000005","426","","","","","","","","2022-04-11","2021-04-22","2","Significant","Poor","2021-04-22","Yes","2019-07-18","https://damsafety.org/new-jersey"
"Moose Pac Lake Dam","","","NJ00281","","NJ00281","Narendra Patel","Private","Private","22-152","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.02515","-74.50678333333333","Morris","New Jersey","Jefferson","","East Branch Rockaway River","Congressional District 11, New Jersey","JEFFERSON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","10","","","10","Less than 25 feet","75","","1918","1910-1919","165","","165","22","0.4","","","","","","","","","2022-04-11","2021-01-18","2","Significant","Poor","2021-01-18","Yes","2021-09-21","https://damsafety.org/new-jersey"
"Lake Garrison Dam","","","NJ00778","","NJ00778","Lake Garrison Inc.","Private","Private","31-59","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.6283","-75.12678333333335","Gloucester","New Jersey","Porchtown","","Reed Branch of Still Run","Congressional District 02, New Jersey","ELK TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","6.8","","","6.8","Less than 25 feet","500","","1924","1920-1929","152","152","89","33","7","41","","","","","","","","2022-04-11","2020-12-03","2","Significant","Poor","2020-12-03","Yes","2018-12-26","https://damsafety.org/new-jersey"
"Lake Shawnee Dam","","","NJ00334","","NJ00334","Lake Shawnee Club","Private","Private","22-12","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.969816666666674","-74.59715","Morris","New Jersey","","","Weldon Brook","Congressional District 11, New Jersey","JEFFERSON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","9","","","9","Less than 25 feet","150","","","Undetermined","376","376","184","79","7.6000000000000005","522","","","","","","","","2022-04-11","2021-01-18","2","Significant","Poor","2021-01-18","Yes","2016-12-23","https://damsafety.org/new-jersey"
"New Jersey No Name # 11 Dam","","","NJ00345","","NJ00345","Charles & Harriette Ansbach","Private","Private","22-206","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.181616666666656","-74.73718333333333","Sussex","New Jersey","Branchville","","Branch of Dry Brook","Congressional District 05, New Jersey","FRANKFORD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","12","","","12","Less than 25 feet","288","","1957","1950-1959","125","125","100","15","0.42","213","","","","","","","","2022-04-11","2021-09-10","2","Significant","Poor","2021-09-10","Yes","2010-12-30","https://damsafety.org/new-jersey"
"New Camp Site Dam","","","NJ00412","","NJ00412","Southern NJ Council of the Boy Scouts of America","Private","Private","31-41","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.79421666666666","-74.97078333333333","Camden","New Jersey","Clementon","","North Branch Big Timber Creek","Congressional District 01, New Jersey","PINE HILL BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","15","","","15","Less than 25 feet","550","","1946","1940-1949","90","90","74","12","2.9","420","","","","","","","","2022-04-11","2021-12-21","4","Low","Fair","2021-12-21","Not Required","","https://damsafety.org/new-jersey"
"Centennial Lake Dam","","","NJ00424","","NJ00424","Centennial Land & Development","Private","Private","31-82","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.842200000000005","-74.84965","Burlington","New Jersey","","","Haynes Creek","Congressional District 03, New Jersey","MEDFORD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","18","","","18","Less than 25 feet","300","","","Undetermined","344","","344","53","7.3","324","","","","","","","","2022-04-11","2020-03-20","2","High","Poor","2020-03-20","Yes","2006-07-19","https://damsafety.org/new-jersey"
"Jericho Pond Dam","","","NJ00631","","NJ00631","M.R. Dickinson & Son","Private","Private","34-20","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.47073333333333","-75.35233333333333","Cumberland","New Jersey","","","Stow Creek","Congressional District 02, New Jersey","STOW CREEK TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","5.5","","","5.5","Less than 25 feet","300","","1937","1930-1939","49","49","31","25","8.1","400","","","","","","","","2022-04-11","2018-03-31","2","High","Poor","2018-03-31","Yes","2018-04-16","https://damsafety.org/new-jersey"
"Lake James Dam","","","NJ00873","","NJ00873","KGOSA","Private","Private","31-108","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.86006666666667","-74.875","Burlington","New Jersey","Marlton","","Barton's Run-TR","Congressional District 03, New Jersey","EVESHAM TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","11","","","11","Less than 25 feet","1050","","1990","1990-1999","182","182","31","35","0.6","360","","","","","","","","2022-04-11","2020-10-27","2","Significant","Fair","2020-10-27","Yes","2018-08-22","https://damsafety.org/new-jersey"
"Mountain Valley Park Dam","","","NJ00953","","NJ00953","Borough of Mendham","Local Government","Local Government","25-132","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.78578333333333","-74.60785","Morris","New Jersey","Mendham Township","","North Branch Raritan River","Congressional District 11, New Jersey","MENDHAM BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","10","","","10","Less than 25 feet","160","","1950","1950-1959","20","","20","1","1.1","500","","","","","","","","2022-04-11","2020-05-02","2","Significant","Satisfactory","2020-05-02","Yes","2020-07-28","https://damsafety.org/new-jersey"
"Daretown Lake Dam","","","NJ00107","","NJ00107","Township of Upper Pittsgrove","Local Government","Local Government","30-9","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.61278333333333","-75.25458333333333","Salem","New Jersey","Woodstown","","Salem River","Congressional District 02, New Jersey","UPPER PITTSGROVE TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","16","","","16","Less than 25 feet","575","","1915","1910-1919","6","","6","16","1.8","634","","","","","","","","2022-04-11","2020-06-08","2","Significant","Satisfactory","2020-06-08","Yes","2010-12-13","https://damsafety.org/new-jersey"
"West Creek Dam","","","NJ00629","","NJ00629","County of Cape May","Local Government","Local Government","35-5","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.22701666666666","-74.91265","Cape May","New Jersey","","","West Creek","Congressional District 02, New Jersey","DENNIS TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","10","","","10","Less than 25 feet","900","","","Undetermined","247","","247","65","11.6","","","","","","","","","2022-04-11","2020-04-21","2","Significant","Satisfactory","2020-04-21","Yes","2021-09-10","https://damsafety.org/new-jersey"
"Shaws Mill Pond Dam","","","NJ00075","","NJ00075","Division of Fish & Wildlife","State","State","35-4","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.31225","-75.15631666666665","Cumberland","New Jersey","","","Pages Run","Congressional District 02, New Jersey","LAWRENCE TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","15","","","15","Less than 25 feet","470","","","Undetermined","87","","87","28","3.5","144","","","","","","","","2022-04-11","2020-10-20","2","Significant","Satisfactory","2020-10-20","Yes","2019-09-09","https://damsafety.org/new-jersey"
"Upper Garden Reservoir Dam","","","NJ01001","","NJ01001","Greystone Park Psychiatric Hospital","State","State","25-282","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.83813333333333","-74.5154","Morris","New Jersey","Denvile","","Whippany River-TR","Congressional District 11, New Jersey","PARSIPPANY-TROY HILLS TWP","","","","","","","","","Recreation","Recreation","Earth","Earth","","","6","","","6","Less than 25 feet","550","","","Undetermined","0","","","3","0.19","","","","","","","","","2022-04-11","2020-10-14","2","Significant","Satisfactory","2020-10-14","Yes","2018-04-17","https://damsafety.org/new-jersey"
"Harrisonville Dam","","","NJ00105","","NJ00105","Division of Fish & Wildlife","State","State","30-7","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.68255","-75.26684999999999","Gloucester","New Jersey","","","Oldmans Creek","Congressional District 02, New Jersey","SOUTH HARRISON TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","15","","","15","Less than 25 feet","425","","","Undetermined","187","","187","17","9.5","1845","","","","","","","","2022-04-11","2020-08-18","2","Significant","Satisfactory","2020-08-18","Yes","2019-09-09","https://damsafety.org/new-jersey"
"Upper Aetna Lake Dam","","","NJ00420","","NJ00420","Borough of Medford Lakes","Local Government","Local Government","31-55","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.857","-74.79868333333333","Burlington","New Jersey","Medford","","Sharps Branch of Haynes Creek","Congressional District 03, New Jersey","MEDFORD LAKES BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","14","","","14","Less than 25 feet","230","","1928","1920-1929","254","254","136","23","5.5","375","","","","","","","","2022-04-11","2021-12-28","2","Significant","Satisfactory","2021-12-28","Yes","2016-09-27","https://damsafety.org/new-jersey"
"East Creek Pond Dam","","","NJ00637","","NJ00637","County of Cape May","Local Government","Local Government","35-8","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.22256666666666","-74.8861","Cape May","New Jersey","","","East Creek","Congressional District 02, New Jersey","DENNIS TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","11","","","11","Less than 25 feet","550","","1800","Before 1900","205","","205","60","6.8","","","","","","","","","2022-04-11","2020-05-06","2","Significant","Satisfactory","2020-05-06","Yes","2021-09-10","https://damsafety.org/new-jersey"
"Regional Detention Basin Dam E","","","NJ00933","","NJ00933","County of Somerset","Local Government","Local Government","25-237","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.49231666666667","-74.65593333333334","Somerset","New Jersey","","","Royce Brook","Congressional District 07, New Jersey","HILLSBOROUGH TOWNSHIP","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth;Gravity","","","17.400000000000002","","","17.400000000000002","Less than 25 feet","750","","","Undetermined","193","193","10","1","2.8000000000000003","5466","","","","","","","","2022-04-11","2020-11-21","2","Significant","Satisfactory","2020-11-21","Yes","2017-11-27","https://damsafety.org/new-jersey"
"Lower Aetna Lake Dam","","","NJ00418","","NJ00418","Borough of Medford Lakes","Local Government","Local Government","31-52","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.86321666666666","-74.8036","Burlington","New Jersey","Medford","","Haynes Creek-TR","Congressional District 03, New Jersey","MEDFORD LAKES BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","12","","","12","Less than 25 feet","240","","1926","1920-1929","136","136","106","18","6","187","","","","","","","","2022-04-11","2021-12-28","2","Significant","Satisfactory","2021-12-28","Yes","2016-09-27","https://damsafety.org/new-jersey"
"Northridge Pond Dam","","","NJ00950","","NJ00950","County of Somerset","Local Government","Local Government","25-189","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","40.47681666666666","-74.59908333333334","Somerset","New Jersey","","","Millstone River-TR","Congressional District 07, New Jersey","HILLSBOROUGH TOWNSHIP","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth;Gravity","","","12.5","","","12.5","Less than 25 feet","600","","","Undetermined","3","","3","2","0.11","496","","","","","","","","2022-04-11","2019-12-06","2","Significant","Satisfactory","2019-12-06","Yes","2017-12-27","https://damsafety.org/new-jersey"
"Franklin Pond Dam","","","NJ00657","","NJ00657","Borough of Franklin","Local Government","Local Government","22-227","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","41.11185","-74.58873333333334","Sussex","New Jersey","","","Wallkill River","Congressional District 05, New Jersey","FRANKLIN BOROUGH","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","18","","","18","Less than 25 feet","350","","","Undetermined","405","","405","50","29.3","","","","","","","","","2022-04-11","2020-08-13","2","Significant","Satisfactory","2020-08-13","Yes","2021-01-26","https://damsafety.org/new-jersey"
"Kenilworth #2 (Flamingo Road) Dam","","","NJ00967","","NJ00967","Pine Acres Associates","Private","Private","31-210","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.84141666666667","-74.91591666666666","Burlington","New Jersey","","","Barton Run-TR","Congressional District 03, New Jersey","EVESHAM TOWNSHIP","","","","","","","","","Recreation","Recreation;Fire Protection, Stock, Or Small Fish Pond","Earth","Earth;Gravity","","","8","","","8","Less than 25 feet","","","","Undetermined","150","","150","10","","","","","","","","","","2022-04-11","2011-12-27","4","Low","Poor","2011-12-27","Not Required","","https://damsafety.org/new-jersey"
"Bethany Hole Dam","","","NJ00798","","NJ00798","Little Mill Associates","Private","Private","31-76","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.82748333333333","-74.87126666666666","Burlington","New Jersey","Medford","","Haynes Creek-TR","Congressional District 03, New Jersey","EVESHAM TOWNSHIP","","","","","","","","","Recreation","Recreation;Water Supply","Earth","Earth;Gravity","","","11.4","","","11.4","Less than 25 feet","180","","","Undetermined","12","12","10","2","0.1","84","","","","","","","","2022-04-11","2021-09-08","2","Significant","Poor","2021-09-08","Yes","2022-01-31","https://damsafety.org/new-jersey"
"Lake Pine Dam","","","NJ00426","","NJ00426","Lake Pine Colony Club","Private","Private","31-15","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.86645","-74.84841666666667","Burlington","New Jersey","Medford","","Haynes Creek","Congressional District 03, New Jersey","MEDFORD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","14","","","14","Less than 25 feet","265","","1941","1940-1949","160","160","90","24","15.1","900","","","","","","","","2022-04-11","2019-07-15","2","Significant","Poor","2019-07-15","Yes","2013-03-01","https://damsafety.org/new-jersey"
"Braddocks Mill Dam","","","NJ00423","","NJ00423","Braddocks Mill Conservation Assoc.","Private","Private","31-75","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.822649999999996","-74.8489","Burlington","New Jersey","Medford","","Kettel Run","Congressional District 03, New Jersey","MEDFORD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","16","","","16","Less than 25 feet","195","","1790","Before 1900","9","","9","23","4","300","","","","","","","","2022-04-11","2021-12-22","2","Significant","Poor","2021-12-22","Yes","2021-03-24","https://damsafety.org/new-jersey"
"Sadies Dam","","","NJ00554","","NJ00554","South Jersey Agricultural Products","Private","Private","30-26","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.6057","-75.2424","Salem","New Jersey","","","Salem River","Congressional District 02, New Jersey","UPPER PITTSGROVE TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","14","","","14","Less than 25 feet","420","","1956","1950-1959","36","","36","8","0.8","","","","","","","","","2022-04-11","2020-04-02","2","Significant","Poor","2020-04-02","Yes","2015-04-07","https://damsafety.org/new-jersey"
"Hobb Lake Dam","","","NJ00475","","NJ00475","Great Times Day Camp","Private","Private","31-127","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.70686666666667","-74.86583333333333","Camden","New Jersey","Waterford","","Pump Branch Albertson Brook","Congressional District 01, New Jersey","WINSLOW TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","12","","","12","Less than 25 feet","3000","","1828","Before 1900","130","","130","43","8.8","21","","","","","","","","2022-04-11","2021-05-27","2","Significant","Poor","2021-05-27","Yes","2021-11-23","https://damsafety.org/new-jersey"
"Stokes-Lower Dam","","","NJ00911","","NJ00911","John C. Mutch, Jr.","Private","Private","31-67","0","","","Yes","Yes","NJDEP","Yes","Yes","Yes","New Jersey","39.847066666666656","-74.79393333333333","Burlington","New Jersey","","","Haynes Creek","Congressional District 03, New Jersey","MEDFORD TOWNSHIP","","","","","","","","","Recreation","Recreation","Earth","Earth;Gravity","","","8","","","8","Less than 25 feet","300","","","Undetermined","15","","15","3","1.3","47","","","","","","","","2022-04-11","2021-02-26","2","Significant","Poor","2021-02-26","Yes","2021-04-28","https://damsafety.org/new-jersey"
